Date,PM2.5,PM10,NO2,SO2,O3,CO,Temperature_Mean,Relative_Humidity_Mean,Precipitation,Wind_Speed_Max,Surface_Pressure_Mean,PM2.5_Lag1,PM2.5_Lag2,PM2.5_Lag3,PM2.5_Lag7,PM2.5_Rolling3_Mean,PM2.5_Rolling7_Mean,PM2.5_Rolling7_Std,Year,Month,Day_of_Week,Season,City,PM2.5_Next_Day
2020-01-08,31.50108307453416,79.28260869565217,33.99633680555556,4.558494623655914,46.32179775280899,800.2079846999761,22.5,67,0.0,16.4,914.1,24.83868217054264,22.6425702811245,51.29415556426332,26.703125,26.32744517540043,34.21331570178799,13.42553364811505,2020,1,2,Winter,Bengaluru,41.30619047619048
2020-01-08,37.81890710382513,61.83459016393442,6.3589473684210525,27.412777777777777,33.906345987920616,547.8947368421053,25.4,75,0.1,14.7,1012.2,29.29596014492754,15.925365111561868,13.734690476190476,20.26294871794872,27.680077453438177,23.256470739561507,8.46227536119271,2020,1,2,Winter,Chennai,32.77051369863014
2020-01-08,122.18309499489274,148.13636363636363,34.848894395730085,9.403614457831326,11.15952380952381,1120.6740430622008,12.8,92,17.5,14.5,988.9,126.44615384615383,155.41950436798004,173.38655462184877,349.875,134.6829177363422,189.19178740318443,68.02533958884172,2020,1,2,Winter,Delhi,97.89627416405432
2020-01-08,122.45510204081631,220.02087912087916,45.102,10.188,26.50076923076923,1255.1020408163265,17.7,80,0.0,8.9,1013.9,115.19636363636364,102.01511627906976,93.95054945054945,121.9025641025641,113.22219398541658,93.76636823476547,34.83478300124257,2020,1,2,Winter,Kolkata,89.15393258426965
2020-01-08,68.27,104.34189211212517,34.32086206896552,8.277315384615385,38.708888888888886,866.7552447552448,23.8,76,0.0,17.3,1012.4,94.8606746031746,71.676,97.62633333333332,110.95435897435895,78.26889153439154,92.05890368737361,19.772727930401693,2020,1,2,Winter,Mumbai,62.42113387978142
2020-01-09,41.30619047619048,91.72093023255816,38.94493275427291,6.294482758620689,32.65,692.8048780487804,22.8,67,0.0,17.9,913.9,31.50108307453416,24.83868217054264,22.6425702811245,24.315661375661374,32.548651907089095,36.64053414472072,12.861929017050599,2020,1,3,Winter,Bengaluru,38.60565476190476
2020-01-09,32.77051369863014,71.79388888888889,8.948333333333332,11.381764705882354,19.067083333333333,933.013698630137,24.6,74,0.0,10.5,1011.8,37.81890710382513,29.29596014492754,15.925365111561868,18.0375,33.295126982460935,25.361186982222957,8.774310707434887,2020,1,3,Winter,Chennai,34.29780701754386
2020-01-09,97.89627416405432,137.20224719101122,29.09802807486631,8.463492063492064,15.6044776119403,887.6060606060606,10.5,78,0.0,16.1,993.7,122.18309499489274,126.44615384615383,155.41950436798004,318.07035619664407,115.50850766836697,157.73834711281447,45.761399049326144,2020,1,3,Winter,Delhi,143.33333333333331
2020-01-09,89.15393258426965,159.09101123595505,63.34571428571428,9.856363636363636,16.440224719101124,1132.6506024096386,18.4,83,0.1,7.7,1013.5,122.45510204081631,115.19636363636364,102.01511627906976,130.41827956989246,108.93513275381655,87.87146152253364,30.863773593412315,2020,1,3,Winter,Kolkata,86.22359550561798
2020-01-09,62.42113387978142,123.61016393442624,45.43526515151515,9.878076923076922,45.94559343434344,774.074074074074,22.6,59,0.0,23.4,1012.7,68.27,94.8606746031746,71.676,128.2533971291866,75.18393616098534,82.6542946517443,14.691233013406434,2020,1,3,Winter,Mumbai,72.40520408163266
2020-01-10,38.60565476190476,89.86904761904762,38.53658983451537,7.940109890109889,33.272222222222226,785.4187885285446,21.7,67,0.0,18.4,913.8,41.30619047619048,31.50108307453416,24.83868217054264,29.66527149321267,37.13764277087646,37.917731754533875,12.492424918584733,2020,1,4,Winter,Bengaluru,31.71167506134573
2020-01-10,34.29780701754386,71.50684210526316,7.633157894736842,7.806140350877193,31.59966610073571,893.1182795698925,25.1,70,0.0,14.6,1012.3,32.77051369863014,37.81890710382513,29.29596014492754,26.04,34.962409273333044,26.54087369901493,9.412685904651998,2020,1,4,Winter,Chennai,39.07415384615385
2020-01-10,143.33333333333331,221.6833333333333,44.6360886571056,10.509615384615383,18.660759493670888,1289.1379310344828,10.1,77,0.0,16.1,994.1,97.89627416405432,122.18309499489274,126.44615384615383,220.1051282051282,121.13756749742679,146.77094784541518,36.60723054499528,2020,1,4,Winter,Delhi,155.70833333333331
2020-01-10,86.22359550561798,141.2955056179775,42.689772727272725,20.272727272727277,27.36642857142857,849.3877551020408,18.2,76,0.0,15.3,1014.7,89.15393258426965,122.45510204081631,115.19636363636364,40.91166666666667,99.2775433769013,94.34459421381241,23.16469340823363,2020,1,4,Winter,Kolkata,83.67424242424242
2020-01-10,72.40520408163266,144.30365384615385,49.36063729874776,9.607234042553191,31.272918419822343,960.8928571428572,23.7,61,0.0,19.1,1011.8,62.42113387978142,68.27,94.8606746031746,94.64015151515152,67.69877932047136,79.47787358981304,14.057912968329257,2020,1,4,Winter,Mumbai,87.2124811827957
2020-01-11,31.71167506134573,73.58426966292134,31.567161508704064,5.93010752688172,34.49488095238095,667.7243916242219,20.9,64,0.0,18.0,914.7,38.60565476190476,41.30619047619048,31.50108307453416,55.235785953177256,37.20784009981366,34.55714448427223,9.96585330786635,2020,1,5,Winter,Bengaluru,40.04787234042553
2020-01-11,39.07415384615385,73.21953846153846,7.936000000000001,11.035846153846157,29.594351882160392,915.7446808510638,25.2,70,0.0,16.1,1013.1,34.29780701754386,32.77051369863014,37.81890710382513,21.94287234042553,35.38082485410928,28.988199628404693,10.211167097498686,2020,1,5,Winter,Chennai,57.105147679324894
2020-01-11,155.70833333333331,253.7093023255814,49.76726190476191,11.71223474801061,25.757894736842108,1586.5130568356376,10.3,77,0.0,11.3,993.7,143.33333333333331,97.89627416405432,122.18309499489274,208.73171958964335,132.31264694357364,139.19617838022805,25.428447541126054,2020,1,5,Winter,Delhi,220.4041527623285
